caption,emotion,confidence
"There's no error of great concern. You know, there might be. That's gone out and. Pep Guardiola wouldn't be too pleased with.",caring,0.0846
 Laurent Blanc problems in the centre of his defence with an injury that's already brought a replacement and now. Concern for Mascherano.,caring,0.0991
"He sees Wilfried Bony surrounded by 4 Juventus players he doesn't want. He doesn't want to put it into the box. He wants to come back out and start again. Therefore, Juventusget everybody behind the ball again. Here is that Silva this time? Now Toure. Eliaquim Mangala",confusion,0.1514
are noted to run further than any other team in the opening round of games.,realization,0.1115
"It's ironic, actually, because the last two weeks Liverpool have been caught out playing out from the back themselves and this time it's Tottenham who are the guilty party and Liverpool should be a goal up.",curiosity,0.1118
Just hoping you could steer it wider. The goalkeeper rather than straight at him.,desire,0.1533
"Divock Origi will come on to replace him.Origi, I'm sure we'll come in to a central position and Firmino will drift out to the left of the three.",nervousness,0.076
"You look at it metaphorically, Liverpool.",realization,0.1233
"Of course, a winner all those years ago with Liverpool. Cut out by Messi from Boateng. Who improvised an interception then. Rakitic.",excitement,0.1045
"Fernando around the corner, De Bruyne slid across and Starling has missed a golden chance to put Manchester City level. Oh dear!.",sadness,0.1327
"A great game on our hands, Duncan Bishop. That's the fastest Sprint. I've seen all game, the race back to the centre circle from Aleix Vidal. He knows 10 minutes remaining is going to be a grandstand finish. That's what they needed to pull a goal back, let the fans get behind them. Aleix Vidal, fantastic run from him well picked out by Gameiro. It's the two substitutes who have an immediate impact on the game. Gameiro and Iborra who does the finishing touch on what was.",excitement,0.1483
Opens his kicking. Lets him down once more and on this occasion.,excitement,0.1094
"Modric you could work by Kolo Touré. One factor we haven't talked about Andy is how you get worn down by having to deal with this constant attacking play at you and that would be a test of Liverpool's stamina as well, unless their organization. But if they can stick at it, it's not out of the question. They might be able to seize a goal to make this an outstanding result, but more defending to come. They still haven't had an hour yet. For cope with that.",annoyance,0.0984
Good work by Yaya Toure to win it. now Fernandinho. Now Aguero.,excitement,0.1321
"Monreal's tackle, Ivanovic there for Chelsea. Here's Xhaka , now Alexis Sanchez and Ozil has taken up a wide position and Walcott's made a run and Ozil's through and here is Ozil.",caring,0.0836
"That is going back in time, isn't it, to have a back three of David Luiz Cahill and Terry. Here's Coutinho winning it and the Chelsea fans are angry with their team again. He's been poor, Ivanovic, I have to say. Lallana. Back to him from Mane. You could argue he started.",anger,0.1323
Rafinha offering himself for the short ball from Neuer,curiosity,0.1153
"Yeah. There again Kompany. He likes to get in a battle, but so does Benteke and you can see the referee had a view from behind of that one. Then you. Might take a little bit of a different view than both. Got hold of each other.",excitement,0.0951
Inzaghi. Thinks the world is against him.,disapproval,0.3789
Big chance early in the game for Fernandinho. Not taken.,curiosity,0.0721
"Done well, there to get his body between Piqué and the ball.",approval,0.1005
"His best players back being taken off. He certainly carried the fight to round Madrid whenever he could and I guess in terms of the type of player, it's one for Ronaldo and of course.",excitement,0.1182
Given away by Fernandinho too Lallana. And Liverpool will get the throw.,excitement,0.0795
It's come all the way to Nathaniel Clyne. Now it's twice that Wayne Rooney's let James Milner go. He has to stay with him.,excitement,0.0815
"Reminiscent of the ball last night from Ballarat, from the Chelsea for the Oscar Ball, look at the arc away from Joe Hart.",curiosity,0.123
This is in the home game against Chelsea.,realization,0.1167
"Patrice Evra, who's at Manchester United debut, was against Manchester City back in January 2006. He was suspended for the weekend against Kiev following his red card against Roma. But back in very familiar surroundings tonight. Steven still going strong at the age of 34. He's playing really well. [inaudible]. It's good to hear the pantomime boos are out tonight. We like to see like to hear.",excitement,0.1035
Their trips to the Emirates since they switched here from Highbury and Aaron Ramsey own goal in that trip.,excitement,0.1036
"Juventus have to go to Palermo at the weekend, which of course is Dybala's old club. He wouldn't want to miss that game. Getting some treatment out there now.",caring,0.1037
"That's Rafinha, I think at the back post it just hits him. He doesn't know anything about it, doesn't get the greatest contact Neymar, but another chance for Barcelona.",confusion,0.1095
Lallana running it on for Mane own trying to take Luiz on on the half term.,curiosity,0.0858
"Just looking at the upcoming fixtures for Real Madrid, they've got a really tough running because they've got Juventus the first leg in midweek, then Valencia.",curiosity,0.1414
Too easy really for Barzagli Now we get highlights of all tonight's Champions League games coming up at 10:00 o'clock tonight with us on BT Sport. His Dybala. Really.,caring,0.0743
Discuss Paul Pogba and what his future might be.,curiosity,0.2129
"In towards Wilfried Bony and arriving, too was Raheem Sterling away by Lichsteiner. A pocket by Fernandinho who's been in good goalscoring form in the early weeks of the season and he caught that really nicely. Yeah. A nice strike Fletcher. I think it was fading away from Shanghai performance goal outside the right foot saying ""oh it was close"".",excitement,0.0955
Gerrard himself converted that very late penalty. With two one success.,realization,0.1064
Pique Resisting Dzeko's attentions. Messi.,confusion,0.2028
Every level doesn't allow a top goal scorer to keep putting the ball in the net.,disapproval,0.1345
Alderweireld An example of the excellent range of passing the two Spurs centre halves enjoy. Rose.,admiration,0.137
"Suggesting he's going to clip it up, which he does and gets a corner from it conceded by Busquets. It's a good ball.",excitement,0.1011
Modric. Brendan Rodgers can't fool the application of his players and from that unnecessary slip by Skrtel early on. But. Tall order. For the Premier League club. One or two darts forward by. Markovic.,caring,0.0734
Awkward for Toure with Sergio Aguero sniffing around. Flanagan then runs into Fernandinho. Here's Aguero. City have got players forward here.,nervousness,0.2706
"Just a little bit behind Olivier Giroud, of course, he was involved in the thick of it last season, wasn't he? In both matches, Here's Batshuayi and Batshuayi is in here for Chelsea and Petr Cech with the first save that he's had to make of any kind of importance today And Batshuayi really disappointed he didn't make more of it. What a ball from Luiz here coming out. That's a fabulous run and a great ball. And this is the difference. You know Sanchez in a similar position keeps his head, thinks the goalie to go 1-0 up for Arsenal and Batshuayi just happy take a shot.",disappointment,0.0847
Nominated by Steve McManaman is Alex Iwobi.,caring,0.0697
"Lovely from Coutinho, Lallana. Sturridge wasn't setting up on the sprint.",admiration,0.1365
"Could it possibly be, of course, Manchester City can win the Champions League and qualify. Again through that route,",curiosity,0.1873
Very nearly the moment of the match from Coutinho suddenly pulling the trigger. And David De Gea Flinging himself to his left.,excitement,0.2393
Chiellini tustling them with Wilfried Bony and it's brought back for an earlier foul by Juventus.,excitement,0.1071
"Here's Yaya Toure, Manchester City in a big finish. Fernandinho.",excitement,0.1576
Looking more orderly.,realization,0.1515
"Well, everyone's here tonight. No surprise that, Sir Alex amongst them. He will be pleased with the start, but he will know.",excitement,0.1072
Last time these two sides ppeared in Senia was back in. 2007,realization,0.0743
Just to get one of their two historical wins here. Hits move forward here. Pucciarelli. goes behind. Isn't able to turn. Closed down by.,desire,0.1201
"Well, you can see how Chelsea are going to play currently Glenn, straight away.",realization,0.1555
It's blocked by Illarramendi onto Casillas. Attempting to finish was Dennis Suarez.,curiosity,0.081
And away for another Chelsea corner. The most sustained spell of pressure coming almost directly from the restart.,excitement,0.0755
"It wasn't an easy one for Pepe to clear. He's made good contact, really. Coentrao, just committed himself out on that left. Side.",caring,0.0881
Does he really know that position well gets done on an easy ball,curiosity,0.2037
"Here's Joel Matip, who by the age of 18 was a regular in the Bundesliga. Makes his Premier League debut today.",excitement,0.1052
"Otamendi wants a foul in. He's complaining to the referee, but unfortunately for Manchester City that stemmed from the break Yaya and Fernandinho got caught. As you rightly said.",disappointment,0.1105
"James Rodriguez, the player? Hernandez in here.",curiosity,0.1056
Early on in his career. That's the only criticism from a Chelsea point of view. The finish was Absolutely brilliant. It's the height.,disapproval,0.1427
"And Silva, we can inject some pace and acceleration. Now Sagna back in towards David Silva away by Chiellini for the optimum time.",desire,0.0842
But a very prized victory in these circumstances.,pride,0.2544
He's been excellent and he needs a run in the side.,admiration,0.0812
"He knew he wasn't getting that. Coutinho, turned away from Herrera. Can he find the pass here.",confusion,0.1169
"Two feisty characters, Gignac and and David Luiz.",amusement,0.1088
Balls deflected in goalkeepers come could double handed pump away.,excitement,0.1602
"And surprisingly for this game, which usually has a quite heated temperatures, not just in the weather conditions but on the pitch, there are some real fiery aggressive. Bacca unable to. Get to the ball ahead of Pepe.",surprise,0.2867
"He's going to be important though, in the middle of the park there, starting on the right.",pride,0.1324
Isco trying to get there first for the home side.,confusion,0.0852
Phillipe Coutinho deep earnest square ball. It's got a piece of. Fellaini. Of course.,caring,0.0966
"Speedy Striker, soft centre.",relief,0.1213
"Here's the Yellow Cards for Bayern as well, Xabi Alonso, Benatia and Bernat.",curiosity,0.0793
"They missed a good opportunity on that last attack, United. Rashford.",disappointment,0.2302
Schneiderlin again. Mata Still Juan Mata as two to look for on the Manchester United right. Valencia and Lingard.,desire,0.0933
"Mbia was the player who caught him. It may well be that Ancelotti wants to ask Unai Emery, if they got another mask.",curiosity,0.0895
I'll be down first by Jordi album and then by Gerrard Pique. Here's Neymar,disappointment,0.1316
And then he was quick play on the edge of the box from Liverpool. What a fantastic goal.,excitement,0.1586
"They are so open to counterattacks, Chelsea when they give it away. Willian",anger,0.162
 And the more frustrated Manchester City get you see Raheem Sterling is coming from the left infield. Samir Nasri likes to go in fields as well. That the last thing you want is a group of players very collectively in the centre ground. You need to keep the patience. One needs to stay wide. The fact that Manchester City has so much enjoyment this year in the Premier League is because we've had a Navas or a sterling who kept the pitch really wide and they exploited the the space with the pace of the team.,annoyance,0.1111
"Rashford, he's in here. He scores!! Marcus Rashford, takes yet another step up the ladder and there's a lad from Manchester who scores in the Derby for Manchester United.",excitement,0.2211
"The whole bar Munich team is in Arsenal's half the position of the Centrebacks, Martinez and Boateng.",desire,0.0877
"Its Theo Walcott. He's fancy his chances Theo Walcott the last 5-10 minutes, really. Inside there is growing in confidence. Having the penalty.",optimism,0.1852
"And scored in each of the last two. Group games, Louis Suarez, and now.",realization,0.1097
Pedro has been asked to place an emergency right back to the Spanish national team and may had a couple of injuries.,curiosity,0.0905
A decent free kick. Just gave himself that little bit of extra width.,surprise,0.1111
"Call there by Fernandinho. yeah, got caught again the corner.",excitement,0.1034
Italian Marco Verratti does ever so well. Quick feet.,admiration,0.114
"Just gets a little bit of a show from Mario Mandzukic. It's further evidence there, Steve, with the big desire of the Juventus strikers to get back and make challenges. Yeah, I thought it was a foul. Actually, that referee plays it on.",excitement,0.1539
"Anyway, 3 fouls already night in the 1st 4 minutes. They are definitely going to be a tight against Liverpool.",realization,0.0652
10 days since David Luiz suffered his hamstring injury in the key League victory against Marseille.,excitement,0.0776
This comes in at the back of sterling there. That's. That's nasty. Absolutely no need for he's not playing the ball. He's definitely a yellow.,disappointment,0.1458
Chelsea got off to a quick five start from this game. That's the only other game we got goals so far. A wave of Paris Saint German.,excitement,0.1322
"If they are going to shift it shift it quickly, see Clichy is free. They have to try and open the pitch up, use the pace of De Bruyne, Sterling, Navas.",caring,0.1177
Faded over the last few weeks we've come up with the level that we've been accustomed to.,realization,0.1348
"Coentrao did his job well. He's a. Yeah, it was hopeful as well. Throwing. Also.",optimism,0.2806
And the finishing hasn't been of the highest order either from Real Madrid.,disappointment,0.1085
"Particularly in the last decade or so, all sorts of competitions. Out by. Ngolo Kante Quite get there a second time.",excitement,0.0994
"Here's Can and Fernando was quickly there for Manchester City. Now Flanagan, Origi with the touch to Henderson.",excitement,0.1112
Rakitic. Matuidi finds the gap for Rabiot.,confusion,0.0678
"It's a brilliant bit of play again from Barcelona, Jordi Alba sprinting forward down the left hand side.",excitement,0.1828
"On target against OM earlier this season, but as I say, just eight league goals, 18 goals in all competitions for Cavani this season.",curiosity,0.0862
"Unfortunately for him, the closest player was Paletta just wasn't quick enough to react.",disappointment,0.2687
The better chance Liverpool have got of picking up the third goal with the counterattack. This is a more controlled attack. Wijnaldum Sentt back from Lovren Spots Matip. Henderson. For Clyne,caring,0.1082
Herrera. Better ball to him by Ibrahimovic,approval,0.0806
What's the best right back in the world when he played theee. He was pretty good at left back as well. At the world cup in 2006. Alonso.,approval,0.0843
Put down neatly by Isco. Isco's caught. It's a big shout. There will be a free kick.,excitement,0.2324
Cuadrado centered in towards Morata.,realization,0.082
"So it's a new look front three really for Marcelo, with Alessandrini, Ocampos and Batshuayi all on.",excitement,0.0873
This gives taking the chance he's been dispossessed Bony.,realization,0.1009
"Yeah. And in this competition, they've been good travellers as well in the last few years.",realization,0.1076
"Yeah, it's a clear foul by Gignac. On Verratti",disapproval,0.1577
Pressure there from Fernandinho on Emry Can.,nervousness,0.0864
If Real Madrid win today Casillas will,optimism,0.0939
Another change. for [inaudible] Origi rigees on to play through the middle and help the camps attacking pace now and Adam Lallana is off.,desire,0.0727
"How didn't that go in? Lovely, lovely cross first and foremost. Fernando with a good header. Yaya Toure nearly gets a toe on it. Good save by Buffon puts it onto the post, gets the rebound.",curiosity,0.1363
"The power is there. The problem for goalkeepers is the ball is moving in the air absolutely everywhere, so difficult to judge.",excitement,0.0887
With the way the United have played in this first half and they I will say they are on top of their game. They have been the better team. Matip,admiration,0.1254
"Misplaced shot this time from Maxwell. I suppose he could be excused and left back. Found himself in a very foreign position. He was off balance as well. Rob, he's trying to get a shot off. The ball's ricochet to him. Pastore, who played in the first game. He's coming on as a substitute.",confusion,0.1181
"Just one or ten. They don't really need another one, but they've got one. This is the interesting part now in what Manchester City going to do here from Joe Hart kicks.",curiosity,0.2947
"Dja Djédjé with a driven cross, but again it's a little bit over here. Frustration for the OM forwards. Nobody can get on the end of that.",annoyance,0.348
It's a little bit of water to the eye or maybe a bit of blood to the nose. Do Real Madrid know they're in a game here?,curiosity,0.2275
Here's Pedro. We'll see fighting to the very least preserved their unbeaten start to the season.,caring,0.0845
Goals from anywhere bits of skill have beating people around the box. It's a strange choice for me and Sturridge must be sitting on the bench thinking you know what? What do I have to do? Because he's worked hard to get himself fit.,confusion,0.3412
Xavi. Neymar.,realization,0.0762
Here's Marchisio. Miscue from Lichsteiner and.,confusion,0.1812
"And he's trying to go low, Alonso, hoping that they jump and that little deflection going under the wall.",nervousness,0.2145
"Stop the cross, was the message to Milner, and that's what he did. Firmino",caring,0.0866
Three on Harts wall. Missing his peak forward from the back.,disappointment,0.0893
"I think he's. I think he's looking for Clyne really, to make that overlap, and I think he's a little bit reluctant because he goes down in that Channel there, he's got to use his left every time he's got the ball, he's come back on his right and that's the problem Liverpool have down this left hand side. Lallana comes inside, Clyne's coming inside, Firmino, all coming inside, and I think someone's got to be brave enough to go on the outside and stretch City. Can sends it forward towards the reggae.",nervousness,0.1126
Coutinho. He's inviting Clyne forward here.,excitement,0.1473
"Costa, tackled firmely by Laurent Koscielny, they opened up Chelsea again with ease there, didn't they, Arsenal? And it started from the Granit Xhaka ball, Fletch early on in the play. Fizzed it right through a couple of.",excitement,0.1558
"Another player to Emery's changed around with his role. He was more of a defensive midfielder at Levante, but now under Emery at Sevilla he's turned to a real box to box midfielder, he's something really useful. That Sevilla bench looks very strong as well. When they played Barcelona earlier this season, it probably actually have a stronger bench.",caring,0.0915
So they've turned it around either side at half time.,curiosity,0.077
Liverpool have room for improvement and plenty of ability with which to improve.,realization,0.1483
"Here's Coutinho It's almost been with the left back Daley going really narrow alongside Chris Smalling. Ashley Young, oing all the way back. Liverpool's Front three do tend to play.",curiosity,0.079
It was a great counter by Liverpool. Dier gave the ball away but wow did they make the most of it.,surprise,0.1354
I think that's going to hamper them against this really resilient. Atletico team.,disappointment,0.0898
"Martin Atkinson showing no sympathy for Diego Costa that time. Kante getting back, he gets in so quickly. And Mane felt. The speed of the challenge, then.",disapproval,0.1007
Matic. Still very subdued at Stamford Bridge.,nervousness,0.1077
"He's been Manchester City's savior here in the past, actually Sergio Aguero. Here he comes, Samir Nasri the player to make way. Yes. Not surprised at all.",caring,0.0944
Bernat The crowd have recognised even at 0-0 they know what they're watching here. Tonight is a pretty special match. Rafinha,realization,0.1526
"They don't get another corner, which is what they were hoping for.",desire,0.2035
"Been caught out on a number of occasions. This could be the goal, though Ronaldo UNable to finish it.",excitement,0.083
Messi wasn't expecting that from Busquets. Xavi.,surprise,0.2282
And that would be a win that would put Manchester United level with Manchester City. In the league table.,realization,0.1403
" Great by Mandžukić great feat, the big man.",admiration,0.1797
"Here's Jordy Alba, so often makes an extra man.",curiosity,0.0762
He is comfortable on the right hand side. Couldn't quite get there. Thanks to Lewandowski ,gratitude,0.2958
"You just saw a lovely little overlap from Azpilicueta, you know, Hazard's made a great little ball, played him in and that's the problem sometimes he's great defensively but didn't have his left foot Costa's making a great run in the box for a left foot cross and he comes back on his right and it all slows back down again. Here's Theo Walcott he can certainly have a run against Chelsea. David Luiz and Gary Cahill were there and then the Alexis Sanchez was following up and the defense is going to bring Arsenal the corner and we see that little episode there where the break look where Hazard is now he's on the halfway. Line",curiosity,0.0783
"He regrets doing that, but the two of them don't get on.",remorse,0.2783
"Who's not shine coming forward himself? He'll stand up for himself. Well, I think Carlo Ancelotti knows that.",curiosity,0.0998
Mascherano. Batra. Busquets. Mathieu.,curiosity,0.0811
City have lost their last two Premier League matches against Leicester and Spurs; two that they would have put an asterics next to. Big ones for them in the title race if not lost three on the trot in the Premier League for over 7 years.,curiosity,0.0723
"He said Barcelona will always drain his heart, but he's come here to win.",desire,0.0832
"Yeah, right. Nice angle this. See, just bending away. 5 yards wide in the end.",caring,0.1107
"Fernandina towards his captain's head, but Mathieu just eased him under the ball.",excitement,0.0904
2V1 against Monreal. Feel sorry for him.,sadness,0.2607
He was having a very good game bar the miss. The Brazilian. Here he is again.,excitement,0.1258
"There is the reception, which I don't think he would have got. Had he not.",disappointment,0.2118
"And you'd have to fancy Ronaldo again. Sergio Ramos, I think having a word. Sergio Ramos",excitement,0.1075
"By Demichelis action at both ends here. Suddenly. It gets much, much hotter.",excitement,0.1919
Carlo Torre played in a final of the Champions League with Arsenal. Over eight years ago now.,realization,0.0865
"Kompany steps in on Firmino but they've got the look about them at the moment, Liverpool that they can score every time they come forward.",curiosity,0.0846
Oblak doing well to push it away into safety.,nervousness,0.0785
"Wait for Tony Kroos. Isco Marcelo, down the outside, he's made one goal already, and he very nearly made a second for the same player. A different type of ball in.",confusion,0.0852
With the speed to get back to make the tackle. Zabaleta's had a stop-start season this season with the. Knee problems.,desire,0.1079
"Henderson does strike it almost the explanation point for Liverpool and he wouldn't have got there Joe Hart would he? No chance. He only had to hit the target. There was a goal there, wasn't it? He just got it.",excitement,0.0907
The team didn't have the the mastery in games that allow the fullbacks to take such risks.,disappointment,0.1567
"Fabregas, to Hazard and then given away.",embarrassment,0.1028
Rams head is not a clearing one. How about the confidence from Sergio Ramos? Rodríguez seems okay. But the pass wasn't okay.,confusion,0.1612
"His argument would be why did you give me the ball in the first place? Well, he could have turned around and pushed up. Doesn't get injured often, Does he? Joe Hart. Implications for club. For country. A chance for.",confusion,0.1198
Whistles goes in Atheltico's favour. Sergio Ramos.,approval,0.1551
"Proud caps for these kind of nights at around 78,000.",pride,0.2828
"An equalizer needed. For City to stay top of this group and keep their fate in that regard in their own hands, going into the final match.",desire,0.1854
"Once you have got the tools to finish the job, Caballero can only push it away as a deflection on the shot.",caring,0.0874
I'm not sure Pep Guardiola would have approved that kind of footwork from a goalkeeper and I don't think Jurgen Klopp was impressed either.,disappointment,0.1504
He always knew it was too high. It was the chance for the better angle.,annoyance,0.1126
"Brice Dja Djédjé Under pressure from Pastore, it's gonna be a goal kick.",excitement,0.1053
And 29 goals so far today in the Premier League. We'll talk about all of them tonight on the Premier League tonight with Jake and the team from 8:00 o'clock on BT Sport One HD and some really big talking points to go through after this one. Lots to talk about with this game of course as well.,excitement,0.1225
Chris Smalling trying to get his back four up the pitch.,nervousness,0.1327
Here's Kante who was closed down quickly there by Walcott. Now Willian.,annoyance,0.0656
Deflected by Mathieu. Giving the goalkeeper no chance and suddenly PSG looking to prompt a rethink here. It's 3:1. A little bit something.,surprise,0.1609
"They really haven't relaxed Liverpool as yet. No, forcing it. A few times he's got the ball into the final third. And he wastes it.",disappointment,0.1297
Three additional minutes at the end of this one.,caring,0.0703
"Cool evening in Catalunya. Get the feeling there's another goal in the air. [inaudible]at the moment. Well done, Bartra.",excitement,0.1025
"Amazing family, the two sons of the World Cup winner Massino.",admiration,0.142
"When he got six goals in the Champions League last season, including a hat-trick against Bayern Munich, he was.",realization,0.1087
There are the two who were playing and they have played together before competitive football for England under 21s in the two long tournament and they came home with the winners medals. That's probably.,approval,0.1034
Here's David Luiz the second time his starts his Chelsea career with a debut at home to Liverpool.,curiosity,0.0766
"Weekend after the return of the new camp, Barce face Real Madrid so.",realization,0.0773
"Again, it's good goalkeeping has a little glance at him Hernández . Strong play.",admiration,0.1117
Contents himself with making sure the ball's spotted up in the right place.,caring,0.1427
Lost on away goals to Chelsea despite a 3:1 success here at home.,disappointment,0.1981
"[inaudible] played by David Luiz. Has all the makings of that game you mentioned earlier in the season, Jerry. And it was the odd goal from 5. It's a good set. It's actually similar to this game tonight. Now you have to say Paris Saint Germain have had at least four good chances in the first half. A bit a shirt pulling there from Pedro. He was going to stop him.",caring,0.0906
And he gets a second booking and there's a change in the dynamics here.,realization,0.1447
" Wembley hero from Sunday, Willie Caballero saved 3 penalties from Liverpool. At Wembley. Here's Firmino",excitement,0.1371
"City settling into more of a rhythm now, Zabaleta.",realization,0.1679
"Training mix right in that small gap, having slipped to 3rd place at the weekend. Who can catch Leicester City? Isn't it fantastic though?",curiosity,0.1638
"And Otamendi does well, certainly settled down a lot, hasn't he? As a Premier League centre back now, Nicholas Otamendi, after a difficult start. Yeah, when you playing alongside Vincent Kompany, I think it gives you a little bit more confidence. The pair that have been playing for most of this season have been a little bit shaky. Kompany's come in and calm the whole back four down.",relief,0.1411
They're back on track and Luis Suarez finishes the job once and for all.,optimism,0.1173
A little bit straight. For the perfect position for a cross. Ibrahimovic's picked up the ball as if he wants to have a shot. Some 40 yards out.,desire,0.1801
"Tonight, a debut goal only by Tim Crowsfoot in the second half.",surprise,0.0768
Intercepted to Van der Wiel. Lucas. Cavani is having one of his quieter games. Verratti. Van der Wiel the Dutch.,caring,0.0757
Jurgen Klopp's reaction towards you most of the story. Kompany to Aguero.,anger,0.1535
"If you watch United, this is what Jose really did a few seasons back. Just walk into set pieces, not rushing. David De Gea has been taking his time, Valencia walking towards the ball.",caring,0.088
Carvajal of course offers you a little bit more going down the right flank. This is seen as  a long term choice there. Marcelo inside for Isco.,caring,0.1142
Distinct advantage you feel for City having played their European game on Tuesday and had a positive result from it as well.,optimism,0.19
The first ball Bonaventura can keep it in. It's how the first goal came Destro climbs high.,excitement,0.1188
[commentor]There's a part of his game that I think the Premier League rivals are going to maybe prey on and play on.,curiosity,0.0991
What you do if you're PSG 2 nil down could get worse if the if it continues like this. That's the ter Stegen save.,caring,0.109
And this time it is Iniesta who comes off.,annoyance,0.075
"It wasn't the worst cross by any means. He thought twice about it put it in the second time of thinking. Yeah, it's good ball in Tiago couldn't take any chances there. A couple of men behind him wearing white.",curiosity,0.0882
Some moments of class from Raphaël Varane.,caring,0.1032
"Does reach halfway, and now Marseille can come forward with Payet.Payet switching the play towards Michy.",excitement,0.0919
Antonelli into the danger. Really to get on the end of it. Croce. And his punt clear. By his side could defend him.,excitement,0.1158
"Strict and ready for action. Slow start was no impediment for him last season. He didn't score in his first seven games for AZ, yet ended up as the top scorer in the Eredivisie, and he's already shown he's got the physical capabilities to be a success in the Premier League.",approval,0.1104
Here's Bony and Manchester United have scored as well. Juan Mata has it. That was another eight o'clock kick off that Manchester United 1-0 Watford .,excitement,0.122
"In front of Sterling and in actual fact, the last touch came off for Raheem Sterling.",realization,0.0925
"Saw him limping about just before, this is the effect of",realization,0.1675
"At the moment, the scoreline is Sevilla 0-2 Real Madrid. Real Madrid give the ball away in midfield. Reyes.",excitement,0.0773
"We're missing players, of course capable of. And providing.",caring,0.092
"Looking for the run, James Milner. Sturridge didn't provide it. He has to look at his teammate.",disappointment,0.085
"Really positive start, though, isn't it, Glenn, from Liverpool? A really great start. We were here when they started like this against Arsenal. They came out the tracks really quick. Same tonight and they look like they're doing business, aren't they tonight? I think they've been a revenge in their in their play at the moment. They really are on the front foot. Here's Lallana and one of the five players changed by Jurgen Klopp from the weekend. And with Joe Hart.",optimism,0.217
"He knows that one moment will come. Clyne. If they can defend as they have been doing, still continuing to make mistakes, Liverpool and. They look nervous. SURPRISING. They've been so slick for him.",nervousness,0.2045
"Silva. Sterling, able to get away from Flanagan this time, but Henderson is back there helping out. Here is Sterling He is gonna try one, Sterling.",caring,0.0968
[announcer]17 and [inaudible] to Manchester. A new signing. Kevin De Bruyne.,excitement,0.0949
Trying to find Pogba. And Firmino is offside. It's a good pass from the ladder. So tight. Good position.,curiosity,0.0878
Andre Pierre Gignac at the double and the Velodrome explodes again.,excitement,0.2775
"He was playing with fire there, Jeremy Morel.",excitement,0.217
"He enjoys doing that, coming in off that left, playing his little give and goes.",excitement,0.2398
The cornerone. Lallana's not happy. Ivanovic just seemed to be just tripping him and he's going away from him.,disappointment,0.1499
Gasping the crowd. He went through Andres the Iniesta. Right ankle.,excitement,0.2148
As the shot comes in. Another shot from Kroos.,curiosity,0.0947
"They've been physically superior, haven't they to anything Manchester City have thrown at them.",curiosity,0.1086
Emry Can couldn't quite get a hold of it and Fernandinho was back there defending for Manchester City.,confusion,0.1527
Just look out there at the Arsenal team. There isn't a great deal of.,disappointment,0.138
The fact he's had to hold it up for so long allowed Mascherano to get back at him.,anger,0.1281
"Piqué and Batra the three centre backs and you have Pedro and Iniesta playing as wing backs and it means they're going to dominate possession, which is what Barcelona loved to do.",excitement,0.1203
"No, that's what we mean really. Walking the tightrope, I think berini makes a lot of it, but it's gotta be so careful as a defender. Just raising your arms. It wasn't a swinging arm at all from Ramos. When you've been booked, the opposition will look to maybe get involved with you a little bit. Just put the possibility in the referee's mind that you might have done something naughty.",caring,0.1088
"Paris Saint Germain, just moving into the ascendancy although. They've lost possession there. Gignac. For Marseille. Thauvin. Fighting for it.",desire,0.0877
[commentor] There is Coquelin . Bellerín.,caring,0.0779
"Mascherano is the man who caught Yohan Cabaye. That is looking like it's a little too late, just going back to that David Luiz defending though to not slow down and hold his position and check.",confusion,0.0798
Benatia who's got Neymar to deal with.,curiosity,0.0862
"Got there in front of Muller as he had to do. They are better team, there's no doubt at the start of the second half. Good play again. It;s been led by Muller and Lewandowski. The start to this second half.",caring,0.0966
"all the life is left in Arsenal, out of them, and they can do this, but for Cech. The follow up. First of all Coutinho could've had a hatrick. Secondly, Lallana could have had a double. [commentor] Going through this ground here. Locks on them.",annoyance,0.0711
"No chances to know yet, but certainly they'll be happy. Jose Mourinho will be happy his team have settled down. Pogba",optimism,0.1875
Here's Lovren Just trying to guide it down for Coutinho might come off. Henderson.,curiosity,0.0786
Strong challenge from Bacca. Bacca,pride,0.1085
"It's not a good ground for them here. They haven't won a Anfield in 12 tries, 8 defeats in that sequence, and if you stretch it further back, it's two wins in 47 visits to Anfield back to 1956.",disappointment,0.3088
"Maura, path of consolation than. Sympathy for.",caring,0.2193
Busquets to Rakitic. Paris Saint Germain looking at a little to dig in. Suarez was caught by Thiago Motta.,curiosity,0.1274
Way down here gets throw wins. Take the sting out the game.,annoyance,0.1076
Martin Atkinson is everywhere.,excitement,0.0939
Kompany swings it forward towards Sterling. It's a Liverpool throw in.,excitement,0.0988
Into the level in the standards and Arsenal haven't been able to cope. [commentor] Late goal,disappointment,0.206
"That angle making Mignolet work to keep it out always amazes me as well. His balance, his pace. He's a big man. He's well over 6 foot. Cristiano Ronaldo, you very rarely see him slip over, go to ground or lose his balance and it's a very hard defenders, but this Varane his reading of the game, the timing of his challenges, absolutely spot on.",admiration,0.1807
"Kompany was playing into trouble by Fernandinho, Rakitic Suarez, Messi. Instant control. Lionel Messi. Rakitic arriving.",annoyance,0.1154
Good free kick this for Paris Saint Germain. Ibrahimovic.,excitement,0.0956
"Courtois is incredibly frustrated. See, Conte wants them to play out like this. But eventually the goalkeeper just does that.",annoyance,0.1831
